date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:22	70/70	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Sat,%2003%20Mar%202018%2013:46:21%20GMT	https://themes.getmotopress.com/robots.txt		(from )
13:46:23	97613/97613	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:46:22%20GMT	https://themes.getmotopress.com/villagio/	themes.getmotopress.com/villagio/index.html	(from )
13:46:24	16045/16045	---MCZ	200	added ('OK')	text/css	etag:W/%22180380-3ead-561266bf91dd1%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.2.6	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutc169.css	(from https://themes.getmotopress.com/villagio/)
13:46:25	7000/7000	---MCZ	200	added ('OK')	text/css	etag:W/%22180377-1b58-561266bf91219%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.2.6	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreenc169.css	(from https://themes.getmotopress.com/villagio/)
13:46:27	5781/5781	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e744683fee0a25b35860fc53af97a366%22	https://themes.getmotopress.com/villagio/comments/feed/	themes.getmotopress.com/villagio/comments/feed/index.html	(from https://themes.getmotopress.com/villagio/)
13:46:27	61842/61842	---MCZ	200	added ('OK')	text/css	etag:W/%2218037c-f192-561266bf91dd1%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommercec169.css	(from https://themes.getmotopress.com/villagio/)
13:46:27	27273/27273	---M-Z	200	added ('OK')	application/rss+xml	etag:%227e9946cf70348db66a0b24fd7944b990%22	https://themes.getmotopress.com/villagio/feed/	themes.getmotopress.com/villagio/feed/index.html	(from https://themes.getmotopress.com/villagio/)
13:46:28	227/227	---MCZ	200	added ('OK')	text/css	etag:W/%22143365-e3-5600c687f1801%22	https://themes.getmotopress.com/villagio/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/menu-item/style.css?ver=1	themes.getmotopress.com/villagio/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/menu-item/style68b3.css	(from https://themes.getmotopress.com/villagio/)
13:46:29	100388/100388	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:46:26%20GMT	https://themes.getmotopress.com/villagio/?lang=de	themes.getmotopress.com/villagio/index3322.html	(from https://themes.getmotopress.com/villagio/)
13:46:30	49728/49728	---MCZ	200	added ('OK')	text/css	etag:W/%22140a52-c240-56412fd44aea1%22	https://themes.getmotopress.com/villagio/wp-content/themes/villagio/css/motopress-hotel-booking.css?ver=1.3.0	themes.getmotopress.com/villagio/wp-content/themes/villagio/css/motopress-hotel-booking6f3e.css	(from https://themes.getmotopress.com/villagio/)
13:46:30	141335/141335	---MCZ	200	added ('OK')	text/css	etag:W/%221409e4-22817-56412fd36eb31%22	https://themes.getmotopress.com/villagio/wp-content/themes/villagio/style.css?ver=1.3.0	themes.getmotopress.com/villagio/wp-content/themes/villagio/style6f3e.css	(from https://themes.getmotopress.com/villagio/)
13:46:31	46223/46223	---MCZ	200	added ('OK')	text/css	etag:W/%22140050-b48f-56412fd37c9d9%22	https://themes.getmotopress.com/villagio/wp-content/themes/villagio/woocommerce.css?ver=4.9.4	themes.getmotopress.com/villagio/wp-content/themes/villagio/woocommercecbf4.css	(from https://themes.getmotopress.com/villagio/)
13:46:32	4438/4438	---MCZ	200	added ('OK')	text/css	etag:W/%22180dd4-1156-56411f8736521%22	https://themes.getmotopress.com/villagio/wp-content/plugins/motopress-hotel-booking/vendors/kbwood/datepick/jquery.datepick.css?ver=2.4.1	themes.getmotopress.com/villagio/wp-content/plugins/motopress-hotel-booking/vendors/kbwood/datepick/jquery.datepick8066.css	(from https://themes.getmotopress.com/villagio/)
13:46:32	4398/4398	---MCZ	200	added ('OK')	text/css	etag:W/%2218089f-112e-56411f5626c01%22	https://themes.getmotopress.com/villagio/wp-content/plugins/motopress-hotel-booking/assets/css/mphb.min.css?ver=2.4.1	themes.getmotopress.com/villagio/wp-content/plugins/motopress-hotel-booking/assets/css/mphb.min8066.css	(from https://themes.getmotopress.com/villagio/)
13:46:34	97184/97184	---MCZ	200	added ('OK')	text/javascript	etag:W/%22102d1d-17ba0-535cec113b69f%22	https://themes.getmotopress.com/villagio/wp-includes/js/jquery/jquery.js?ver=1.12.4	themes.getmotopress.com/villagio/wp-includes/js/jquery/jqueryb8ff.js	(from https://themes.getmotopress.com/villagio/)
13:46:35	10056/10056	---MCZ	200	added ('OK')	text/javascript	etag:W/%22102d22-2748-535cec113ba87%22	https://themes.getmotopress.com/villagio/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	themes.getmotopress.com/villagio/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://themes.getmotopress.com/villagio/)
13:46:36	932/932	---MCZ	200	added ('OK')	text/xml	date:Sat,%2003%20Mar%202018%2013:46:36%20GMT	https://themes.getmotopress.com/villagio/xmlrpc.php?rsd	themes.getmotopress.com/villagio/xmlrpc0db0.php	(from https://themes.getmotopress.com/villagio/)
13:46:37	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%22102c1e-415-51d81db03cf80%22	https://themes.getmotopress.com/villagio/wp-includes/wlwmanifest.xml	themes.getmotopress.com/villagio/wp-includes/wlwmanifest.xml	(from https://themes.getmotopress.com/villagio/)
13:46:38	393308/393308	---MCZ	200	added ('OK')	application/json	date:Sat,%2003%20Mar%202018%2013:46:37%20GMT	https://themes.getmotopress.com/villagio/wp-json/	themes.getmotopress.com/villagio/wp-json/index.html	(from https://themes.getmotopress.com/villagio/)
13:46:39	2345/2345	---MCZ	200	added ('OK')	application/json	date:Sat,%2003%20Mar%202018%2013:46:39%20GMT	https://themes.getmotopress.com/villagio/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthemes.getmotopress.com%2Fvillagio%2F	themes.getmotopress.com/villagio/wp-json/oembed/1.0/embed89c2.json	(from https://themes.getmotopress.com/villagio/)
13:46:41	2440/2440	---MCZ	200	added ('OK')	text/xml	date:Sat,%2003%20Mar%202018%2013:46:41%20GMT	https://themes.getmotopress.com/villagio/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthemes.getmotopress.com%2Fvillagio%2F&format=xml	themes.getmotopress.com/villagio/wp-json/oembed/1.0/embeda330	(from https://themes.getmotopress.com/villagio/)
13:46:41	600/600	---M--	200	added ('OK')	image/png	etag:%2214315f-258-5600c64b07819%22	https://themes.getmotopress.com/villagio/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png	themes.getmotopress.com/villagio/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png	(from https://themes.getmotopress.com/villagio/)
13:46:42	250/250	---M--	200	added ('OK')	image/png	etag:%22143152-fa-5600c64a63b01%22	https://themes.getmotopress.com/villagio/wp-content/plugins/sitepress-multilingual-cms/res/flags/de.png	themes.getmotopress.com/villagio/wp-content/plugins/sitepress-multilingual-cms/res/flags/de.png	(from https://themes.getmotopress.com/villagio/)
13:46:43	53821/53821	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:46:43%20GMT	https://themes.getmotopress.com/villagio/accommodation-category/lazio/	themes.getmotopress.com/villagio/accommodation-category/lazio/index.html	(from https://themes.getmotopress.com/villagio/)
13:46:43	53857/53857	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:46:43%20GMT	https://themes.getmotopress.com/villagio/accommodation-category/le-marche/	themes.getmotopress.com/villagio/accommodation-category/le-marche/index.html	(from https://themes.getmotopress.com/villagio/)
13:46:43	54705/54705	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:46:43%20GMT	https://themes.getmotopress.com/villagio/accommodation-category/aosta-valley/	themes.getmotopress.com/villagio/accommodation-category/aosta-valley/index.html	(from https://themes.getmotopress.com/villagio/)
13:46:45	63095/63095	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:46:44%20GMT	https://themes.getmotopress.com/villagio/villas/	themes.getmotopress.com/villagio/villas/index.html	(from https://themes.getmotopress.com/villagio/)
13:46:45	34823/34823	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:46:45%20GMT	https://themes.getmotopress.com/villagio/find-your-villa/	themes.getmotopress.com/villagio/find-your-villa/index.html	(from https://themes.getmotopress.com/villagio/)
13:46:45	375227/375227	---M--	200	added ('OK')	image/jpeg	etag:%2216242b-5b9bb-556dfa1c6b7e8%22	https://themes.getmotopress.com/villagio/wp-content/uploads/sites/8/2017/06/Depositphotos_65899635_original-2000x1500.jpg	themes.getmotopress.com/villagio/wp-content/uploads/sites/8/2017/06/Depositphotos_65899635_original-2000x1500.jpg	(from https://themes.getmotopress.com/villagio/)
13:46:45	53153/53153	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:46:45%20GMT	https://themes.getmotopress.com/villagio/services/	themes.getmotopress.com/villagio/services/index.html	(from https://themes.getmotopress.com/villagio/)
